,1. open,2. high,3. low,4. close,5. volume
2018-08-13,33.0700,33.0700,32.1100,32.1100,1259
2018-08-10,32.9400,33.3900,32.6300,32.8700,32827
2018-08-09,34.2400,34.2400,33.9600,34.1400,7483
2018-08-08,34.3100,34.3600,34.1300,34.1800,11478
2018-08-07,34.4450,34.4450,33.9400,34.0500,16007
2018-08-06,33.6200,33.7000,33.4900,33.5300,11204
2018-08-03,33.4900,33.6600,33.4600,33.6600,16744
2018-08-02,33.1100,33.4675,32.9000,33.4050,20969
2018-08-01,34.4200,34.5900,33.9900,34.0800,2217
2018-07-31,35.6200,35.7900,35.4600,35.5800,6573
2018-07-30,35.4300,35.5800,35.3400,35.5800,2400
2018-07-27,35.0900,35.2300,34.9600,35.0750,77036
2018-07-26,35.2400,35.4280,35.1400,35.3700,5760
2018-07-25,34.3400,35.4900,33.7000,35.1200,22903
2018-07-24,35.2600,35.2800,34.8500,34.9900,36332
2018-07-23,34.0300,34.1400,34.0300,34.1400,19259
2018-07-20,33.3700,34.3000,33.3700,34.2000,5292
2018-07-19,34.2900,34.6000,34.1550,34.3120,11480
2018-07-18,34.2100,34.6000,34.0400,34.6000,5064
2018-07-17,33.2100,34.2400,33.2000,34.0800,15377
2018-07-16,33.4900,33.8800,33.3300,33.8800,11142
2018-07-13,33.5000,33.8950,33.3960,33.8900,3081
2018-07-12,33.4987,33.7900,33.2500,33.7900,7186
2018-07-11,33.4200,33.8100,33.2600,33.5900,10309
2018-07-10,34.1450,34.4300,34.1100,34.4300,7655
2018-07-09,34.5100,34.5100,34.2700,34.5100,9041
2018-07-06,34.7200,35.2000,34.5300,34.8600,15752
2018-07-05,34.7800,35.3300,34.4500,34.8500,13684
2018-07-03,33.3400,33.6100,32.9600,32.9600,2915
2018-07-02,32.8700,33.1200,32.7000,32.9400,6825
2018-06-29,33.4000,33.6500,33.0900,33.2900,5275
2018-06-28,33.0700,33.6600,32.8900,33.3600,7338
2018-06-27,34.3700,34.6400,33.7200,33.8200,10317
2018-06-26,34.0000,34.1300,33.5300,33.8800,8674
2018-06-25,34.2488,34.5800,34.1800,34.3800,35163
2018-06-22,34.8900,35.2000,34.3800,35.1500,74002
2018-06-21,34.9100,35.0800,34.5000,34.8800,13055
2018-06-20,35.8600,36.6000,35.6600,35.9050,7528
2018-06-19,35.2900,36.8400,35.0700,36.6400,14056
2018-06-18,36.1600,36.8400,36.1593,36.8400,14320
2018-06-15,37.6700,37.7600,37.3900,37.3900,2952
2018-06-14,38.0900,38.4500,38.0600,38.0600,3713
2018-06-13,37.7600,37.9300,37.6200,37.6200,16224
2018-06-12,37.8000,38.1100,37.4500,38.1100,12959
2018-06-11,37.4600,37.8500,37.4000,37.8500,25619
2018-06-08,37.5300,37.9300,37.4600,37.5900,5189
2018-06-07,38.6500,38.7800,38.2700,38.4800,8180
2018-06-06,38.4800,38.7900,38.3900,38.6800,4327
2018-06-05,38.3200,38.3200,37.9500,38.2700,4462
2018-06-04,38.1400,38.1400,37.7100,37.9000,3272
2018-06-01,38.3000,38.5600,37.8700,37.8700,17868
2018-05-31,37.8600,37.8600,37.3700,37.6400,25626
2018-05-30,38.0008,39.0600,37.8100,38.8000,8356
2018-05-29,38.2600,38.2600,37.3400,37.4400,8629
2018-05-25,39.3900,39.8500,39.3900,39.8500,1848
