,1. open,2. high,3. low,4. close,5. volume
2021-02-12,12.1425,12.1900,12.0200,12.1000,129496
2021-02-11,12.3000,12.7400,12.3000,12.5800,118621
2021-02-10,12.4100,12.5200,12.3100,12.4600,152769
2021-02-09,12.0400,12.2600,12.0400,12.2600,237790
2021-02-08,12.0000,12.0800,11.8500,12.0150,97228
2021-02-05,11.4500,11.9400,11.4500,11.8550,146039
2021-02-04,11.0000,11.3300,10.9900,11.1400,99334
2021-02-03,11.0000,11.0200,10.8200,10.9800,72028
2021-02-02,10.4200,10.9400,10.4200,10.6900,52182
2021-02-01,10.1600,10.4700,10.1600,10.4150,48550
2021-01-29,10.2450,10.5500,10.0200,10.3500,112536
2021-01-28,10.8200,10.8200,10.2200,10.7000,128396
2021-01-27,10.2800,10.5200,10.2200,10.2200,74762
2021-01-26,10.2500,10.6500,10.2500,10.5300,72004
2021-01-25,10.7700,10.7700,10.4900,10.6100,62210
2021-01-22,10.7000,10.7900,10.6320,10.7600,72177
2021-01-21,11.2605,11.2605,10.8700,10.9800,90477
2021-01-20,10.5800,10.9900,10.5800,10.8300,60697
2021-01-19,10.1500,10.5100,10.1100,10.5100,85781
2021-01-15,10.0000,10.6200,10.0000,10.2400,98198
2021-01-14,10.4900,10.4900,10.2100,10.3900,76417
2021-01-13,10.4800,10.4800,10.1800,10.2600,103289
2021-01-12,10.0900,10.5000,10.0900,10.4300,50882
2021-01-11,10.4600,10.6200,10.2800,10.3500,110293
2021-01-08,10.6000,10.7300,10.3600,10.4800,103696
2021-01-07,10.8600,10.8600,10.6000,10.6800,73562
2021-01-06,10.4000,10.9500,10.4000,10.8700,87628
2021-01-05,10.1060,10.4600,10.1060,10.3900,75181
2021-01-04,10.5200,10.9600,10.4300,10.5100,239198
2020-12-31,10.7780,10.8500,10.6700,10.7900,559794
2020-12-30,10.8200,10.9000,10.6100,10.7100,350458
2020-12-29,10.9525,10.9525,10.8100,10.9200,81451
2020-12-28,10.6400,11.0100,10.2500,10.6100,60174
2020-12-24,10.5450,10.6300,10.5400,10.5700,27130
2020-12-23,10.1300,10.8600,10.1300,10.5335,58573
2020-12-22,10.5100,10.8400,10.5100,10.8100,96384
2020-12-21,11.0000,11.0000,10.5500,10.7600,86459
2020-12-18,11.1560,11.2650,11.1200,11.2200,99580
2020-12-17,11.4000,11.4000,11.0100,11.0900,56485
2020-12-16,11.1000,11.5000,11.1000,11.3000,124852
2020-12-15,10.8000,10.9900,10.8000,10.9500,76747
2020-12-14,10.5500,11.0000,10.5500,10.7200,78958
2020-12-11,11.0000,11.0000,10.5000,10.6400,68071
2020-12-10,11.1200,11.1200,10.7000,10.7300,70341
2020-12-09,10.6500,11.0800,10.6500,10.9300,127980
2020-12-08,10.6900,10.6900,10.2250,10.3900,63414
2020-12-07,10.5900,10.5900,10.1500,10.2250,94515
2020-12-04,10.2610,10.4800,10.1600,10.4700,60650
2020-12-03,9.9550,10.3300,9.9550,10.1300,67233
2020-12-02,10.1800,10.1800,9.6100,9.8468,66827
2020-12-01,9.6900,10.0100,9.3700,9.7200,188550
2020-11-30,9.8100,9.8100,9.2000,9.4200,205764
2020-11-27,9.9800,10.0000,9.8500,10.0000,109841
2020-11-25,9.9000,10.4600,9.9000,10.3600,161529
2020-11-24,9.5900,9.8300,9.5200,9.8000,95530
2020-11-23,9.5900,9.5900,9.4500,9.5200,86738
2020-11-20,9.4900,9.4900,9.1700,9.4500,61235
2020-11-19,9.1150,9.3600,9.1000,9.1500,35625
2020-11-18,9.1350,9.3600,9.1350,9.3100,548812
2020-11-17,9.1100,9.1100,8.8000,9.0800,62900
2020-11-16,8.8500,9.1000,8.7100,9.0300,249286
2020-11-13,8.6000,8.7200,8.3900,8.5050,117756
2020-11-12,8.0650,8.0800,7.8500,7.9700,61348
2020-11-11,8.0000,8.0580,7.9600,8.0000,46482
2020-11-10,7.7845,8.0000,7.7845,8.0000,69021
2020-11-09,7.8800,7.8800,7.5000,7.6900,130124
2020-11-06,7.4500,7.4550,7.3600,7.4550,56507
2020-11-05,7.5050,7.5100,7.3400,7.3650,31584
2020-11-04,7.1800,7.5050,7.1800,7.4200,81064
2020-11-03,7.3000,7.4700,7.3000,7.4200,64398
2020-11-02,7.1200,7.2500,7.1200,7.2000,44324
2020-10-30,7.0500,7.0500,6.9800,7.0300,83538
2020-10-29,7.0500,7.1800,7.0500,7.1420,116175
2020-10-28,7.1600,7.1600,7.0300,7.0400,95137
2020-10-27,7.3800,7.3800,7.2600,7.2600,53187
2020-10-26,7.3900,7.4700,7.3200,7.4600,139066
2020-10-23,7.4100,7.4100,7.3100,7.3500,60084
2020-10-22,7.2300,7.2900,7.2100,7.2400,209950
2020-10-21,7.2400,7.3100,7.2400,7.3000,195594
2020-10-20,6.9800,6.9900,6.9300,6.9680,89564
2020-10-19,7.1385,7.1700,7.0600,7.0700,50271
2020-10-16,7.0650,7.0800,7.0300,7.0800,50306
2020-10-15,7.0800,7.1000,7.0300,7.0900,58987
2020-10-14,7.0700,7.0700,7.0200,7.0450,32341
2020-10-13,7.1775,7.2100,7.1600,7.1900,64996
2020-10-12,7.2400,7.3200,7.1600,7.2090,129608
2020-10-09,7.2000,7.2000,7.1500,7.1604,55231
2020-10-08,7.2400,7.3600,7.2400,7.2700,29599
2020-10-07,7.3400,7.3900,7.3300,7.3650,57048
2020-10-06,7.3900,7.3900,7.2500,7.2700,134754
2020-10-05,7.2500,7.3800,7.2500,7.2600,56774
2020-10-02,7.0400,7.1000,7.0000,7.0900,121528
2020-10-01,7.0100,7.0700,7.0100,7.0700,65095
2020-09-30,7.0000,7.0800,7.0000,7.0200,90135
2020-09-29,7.4940,7.4940,7.1500,7.2100,103943
2020-09-28,7.0900,7.0900,7.0100,7.0500,91734
2020-09-25,6.8400,6.8800,6.7900,6.8650,66175
2020-09-24,6.9300,6.9600,6.8700,6.8800,54032
2020-09-23,7.0700,7.0700,6.9900,6.9999,218522
2020-09-22,7.5000,7.5000,7.0700,7.1600,73400
2020-09-21,7.3600,7.3600,7.0000,7.1000,74293
2020-09-18,7.6400,7.6400,7.2300,7.2300,112586
