"ID_PAIS_ORIGEN","DESC_PAIS_ORIGEN"
1,"México"
2,"Afganistán"
3,"Albania"
4,"Alemania"
5,"Andorra"
6,"Angola"
7,"Anguila"
8,"Antigua y Barbuda"
9,"Antillas Neerlandesas"
10,"Arabia Saudita"
11,"Argelia"
12,"Argentina"
13,"Armenia"
14,"Aruba"
15,"Asia"
16,"Australia"
17,"Austria"
18,"Azerbaiján"
19,"Bahamas"
20,"Bahrein"
21,"Bangladesh"
22,"Barbados"
23,"Bélgica"
24,"Belice"
25,"Benín"
26,"Bermudas"
27,"Bielorrusia"
28,"Bolivia"
29,"Bosnia y Herzegovina"
30,"Botswana"
31,"Brasil"
32,"Brunei Darussalam"
33,"Bulgaria"
34,"Burkina Faso"
35,"Burundi"
36,"Bután"
37,"Cabo Verde"
38,"Camboya"
39,"Camerún"
40,"Canadá"
41,"Chad"
42,"Chile"
43,"China"
44,"Chipre"
45,"Ciudad del Vaticano"
46,"Colombia"
47,"Corea del Norte"
48,"Corea del Sur"
49,"Costa de Marfil"
50,"Costa Rica"
51,"Croacia"
52,"Cuba"
53,"Curazao"
54,"Dinamarca"
55,"Djibouti"
56,"Dominica"
57,"Ecuador"
58,"Egipto"
59,"El Salvador"
60,"Emiratos Árabes Unidos"
61,"Eritrea"
62,"Eslovaquia"
63,"Eslovenia"
64,"España"
65,"Estado de Micronesia"
66,"Estados Unidos"
67,"Estonia"
68,"Etiopía"
69,"Europa"
70,"Federación Rusa"
71,"Fidji"
72,"Filipinas"
73,"Finlandia"
74,"Francia"
75,"Franja de Gaza"
76,"Gabón"
77,"Gambia"
78,"Georgia"
79,"Ghana"
80,"Gibraltar"
81,"Granada"
82,"Grecia"
83,"Guadalupe y Dependencias"
84,"Guam"
85,"Guatemala"
86,"Guinea"
87,"Guinea Bissau"
88,"Guinea Ecuatorial"
89,"Guyana"
90,"Guyana Francesa"
91,"Haití"
92,"Honduras"
93,"Hong Kong"
94,"Hungría"
95,"India"
96,"Indonesia"
97,"Irak"
98,"Irán"
99,"Irlanda"
100,"Isla Montserrat"
101,"Isla Nive"
102,"Isla Norfolk"
103,"Isla Reunión"
104,"Islandia"
105,"Islas Caimán"
106,"Islas Canal"
107,"Islas Cocos"
108,"Islas Comoras"
109,"Islas Cook"
110,"Islas Heard y Mcdonald"
111,"Islas Malvinas"
112,"Islas Marianas"
113,"Islas Marshall"
114,"Islas Navidad"
115,"Islas Pitcairns"
116,"Islas Salomón"
117,"Islas Svalbard y Jan Mayen"
118,"Islas Tokelau"
119,"Islas Turcas y Caicos"
120,"Islas Vírgenes (EU)"
121,"Islas Vírgenes (Reino Unido)"
122,"Islas Wallis y Futuna"
123,"Israel"
124,"Italia"
125,"Jamaica"
126,"Japón"
127,"Jordania"
128,"Kazajstán"
129,"Kenia"
130,"Kiribati"
131,"Kuwait"
132,"Kyrgyzstán"
133,"Lesotho"
134,"Letonia"
135,"Líbano"
136,"Liberia"
137,"Libia"
138,"Liechtenstein"
139,"Lituania"
140,"Luxemburgo"
141,"Macao"
142,"Macedonia"
143,"Madagascar"
144,"Malasia"
145,"Malawi"
146,"Maldivas"
147,"Malí"
148,"Malta"
149,"Marruecos"
150,"Martinica"
151,"Mauricio"
152,"Mauritania"
153,"Moldavia"
154,"Mónaco"
155,"Mongolia"
156,"Montenegro"
157,"Mozambique"
158,"Myanmar"
159,"Namibia"
160,"Nauru"
161,"Nepal"
162,"Nicaragua"
163,"Níger"
164,"Nigeria"
165,"Noruega"
166,"Nueva Caledonia"
167,"Nueva Zelanda"
168,"Omán"
169,"Países Bajos"
170,"Pakistán"
171,"Palau"
172,"Panamá"
173,"Papúa Nueva Guinea"
174,"Paraguay"
175,"Perú"
176,"Polinesia Francesa"
177,"Polonia"
178,"Portugal"
179,"Puerto Rico"
180,"Qatar"
181,"Reino Unido"
182,"República Árabe Siria"
183,"República Centroafricana"
184,"República Checa"
185,"República de Laos"
186,"República del Congo"
187,"República Dominicana"
188,"Ruanda"
189,"Rumania"
190,"Sahara Occidental"
191,"Samoa Occidental"
192,"San Cristóbal y Nieves"
193,"San Marino"
194,"San Pedro y Miquelón"
195,"San Vicente y las Granadinas"
196,"Santa Elena"
197,"Santa Lucía"
198,"Santo Tome y Príncipe"
199,"Senegal"
200,"Serbia"
201,"Serbia y Montenegro"
202,"Seychelles"
203,"Sierra Leona"
204,"Singapur"
205,"Somalia"
206,"Sri Lanka"
207,"Sudáfrica"
208,"Sudán"
209,"Suecia"
210,"Suiza"
211,"Surinam"
212,"Swazilandia"
213,"Tadjikistán"
214,"Tailandia"
215,"Taiwán"
216,"Tanzania"
217,"Territorios del Reino Unido del Océano Índico"
218,"Territorios Franceses Australes y Antárticos"
219,"Territorios Franceses de Ultramar"
220,"Territorios Franceses del Sur"
221,"Timor Oriental"
222,"Togo"
223,"Tonga"
224,"Trinidad y Tobago"
225,"Túnez"
226,"Turkmenistán"
227,"Turquía"
228,"Tuvalu"
229,"Ucrania"
230,"Uganda"
231,"Uruguay"
232,"Uzbekistán"
233,"Vanuatu"
234,"Venezuela"
235,"Vietnam"
236,"Yemen"
237,"Zaire"
238,"Zambia"
239,"Zimbabwe"
240,"Zona Canal de Panamá"
241,"Zona Neutral Irak-Arabia Saudita"
990,"No Especificado (América del Norte)"
991,"No Especificado (América Central)"
992,"No Especificado (América del Sur)"
993,"No Especificado (Antillas)"
994,"No Especificado (Asia)"
995,"No Especificado (Unión Europea)"
996,"No Especificado (Resto de Europa)"
997,"No Especificado (África)"
998,"No Especificado (Oceanía)"
999,"No Especificado"
