PROD_EST,COBERTURA,ANIO,ID_MES,MARCA,MODELO,TIPO,SEGMENTO,ORIGEN,ID_PAIS_ORIGEN,UNI_VEH,ds
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2017,1,Acura,ILX,Automóviles,De Lujo,IMPORTADO,66,28,2017-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2017,1,Acura,Mdx,Camiones ligeros,SUV's,IMPORTADO,40,57,2017-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2017,1,Acura,Rdx,Camiones ligeros,SUV's,IMPORTADO,66,65,2017-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2017,1,Acura,TLX,Automóviles,De Lujo,IMPORTADO,66,43,2017-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2017,1,Alfa Romeo,Alfa Romeo Giulietta Progression Manual,Automóviles,Deportivos,IMPORTADO,124,22,2017-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2017,1,Alfa Romeo,Alfa Romeo Mito Quadrifoglio Verde Manual,Automóviles,Deportivos,IMPORTADO,124,16,2017-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2017,1,Audi,A1-,Automóviles,De Lujo,IMPORTADO,23,95,2017-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2017,1,Audi,A3-,Automóviles,De Lujo,IMPORTADO,4,376,2017-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2017,1,Audi,A4,Automóviles,De Lujo,IMPORTADO,4,146,2017-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2017,1,Audi,A5,Automóviles,De Lujo,IMPORTADO,4,23,2017-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2017,1,Audi,A6,Automóviles,De Lujo,IMPORTADO,4,20,2017-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2017,1,Audi,A7,Automóviles,De Lujo,IMPORTADO,4,18,2017-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2017,1,Audi,A8,Automóviles,De Lujo,IMPORTADO,4,5,2017-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2017,1,Audi,Q2,Automóviles,De Lujo,IMPORTADO,62,0,2017-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2017,1,Audi,Q3-,Camiones ligeros,SUV's,IMPORTADO,64,130,2017-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2017,1,Audi,Q5,Camiones ligeros,SUV's,NACIONAL,1,197,2017-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2017,1,Audi,Q7-,Camiones ligeros,SUV's,IMPORTADO,62,73,2017-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2017,1,Audi,R8,Automóviles,De Lujo,IMPORTADO,4,9,2017-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2017,1,Audi,TT Coupe,Automóviles,De Lujo,IMPORTADO,94,19,2017-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2017,1,BMW,i3,Automóviles,De Lujo,IMPORTADO,4,6,2017-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2017,1,BMW,i8,Automóviles,Deportivos,IMPORTADO,4,7,2017-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2017,1,BMW,Serie 1 Hatch,Automóviles,De Lujo,IMPORTADO,4,96,2017-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2017,1,BMW,Serie 2,Automóviles,De Lujo,IMPORTADO,4,114,2017-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2017,1,BMW,Serie 3,Automóviles,De Lujo,IMPORTADO,4,229,2017-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2017,1,BMW,Serie 4,Automóviles,De Lujo,IMPORTADO,4,123,2017-01
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2017,1,BMW,Serie 5,Automóviles,De Lujo,IMPORTADO,4,29,2017-01
